タイトル,平均価格,送料,販売数,売上合計,最終販売日
Hazbin Hotel Mini Figure Collection vol.1 & vol.2 complete Set of 6 Bandai Japan,58.02,0,3,174.07,Jul 14 2026
Genshin Impact Citlali Obsidian Opalstar Ver 1/8 figure Myethos,99.4,19.5,3,298.2,Jun 30 2026
Evangelion 30th Anniversary Ichiban Kuji Shinji Rei Asuka Japan figure set,128.53,0,3,385.6,Jul 10 2026
Death Note Ryuk Noodle Stopper Figure FuRyu NY SELLER,39.99,0,3,119.97,Jun 29 2026
Blue Lock Figure Set Seishiro Nagi Reo Mikage Sweets Flavor Ver Japan,49.39,18,3,148.17,Jul 17 2026
Bandai Spirits Banpresto Madoka Magica Sayaka Madoka Homura Mami Figure Set 5,132.3,0,3,396.9,Jul 16 2026
Bandai Soul of Popynica PX-01 Mazinger Z Hover Pileder Great DX Popy Chogokin,134.67,21.12,3,404.01,Jul 3 2026
Authentic Sesshomaru & Inuyasha Vol.2 Trio-Try-iT Figure Set NY SELLER,77.99,0,3,233.97,Jul 16 2026
Attack on Titan Female Titan Revoltech Action Figure Anime Collectible Model,53.99,0,3,161.97,Jul 17 2026
AUTHENTIC Madoka Magica THE MOVIE Rebellion Kaname Figure BANPRESTO NY SELLER,43.99,0,3,131.97,Jul 18 2026
25cm Bleach Yoruichi Figure Thousand Year Blood War Anime Collectible Toy,96.96,0,3,290.88,Jul 11 2026
